"categories_tags"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:fats"",""en:vegetable-fats"",""en:vegetable-oils"",""en:fruit-and-fruit-seed-oils""]"
"[""en:snacks"",""en:salty-snacks"",""en:appetizers"",""en:chips-and-fries"",""en:crisps""]"
["de:abendbrotsufstrich"]
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:fruits-and-vegetables-based-foods"",""en:fruits-based-foods"",""en:fruits"",""en:tropical-fruits"",""en:avocados""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:fruits-and-vegetables-based-foods"",""en:fruits-based-foods"",""en:fruits"",""en:tropical-fruits"",""en:avocados""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:condiments"",""en:spices"",""en:spice-mix""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:fruits-and-vegetables-based-foods"",""en:spreads"",""en:fruits-based-foods"",""en:plant-based-spreads"",""en:salted-spreads"",""en:fruits"",""en:tropical-fruits"",""en:avocados"",""en:avocado-pulp""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:legumes-and-their-products"",""en:legumes"",""en:seeds"",""en:spreads"",""en:legume-seeds"",""en:meals"",""en:plant-based-spreads"",""en:salted-spreads"",""en:pulses"",""en:lentils"",""en:lentil-spreads"",""en:prepared-lentils""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:fruits-and-vegetables-based-foods"",""en:fruits-based-foods"",""en:fruits"",""en:tropical-fruits"",""en:avocados""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:condiments"",""en:spreads"",""en:plant-based-spreads"",""en:sauces"",""en:dips"",""en:guacamoles"",""en:groceries""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:condiments"",""en:spreads"",""en:plant-based-spreads"",""en:sauces"",""en:dips"",""en:guacamoles""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:spreads"",""en:plant-based-spreads"",""en:salted-spreads""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:fats"",""en:vegetable-fats"",""en:vegetable-oils""]"
"[""en:meals"",""en:sushis-and-makis"",""en:sushis""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:fruits-and-vegetables-based-foods"",""en:fruits-based-foods"",""en:fruits"",""en:tropical-fruits"",""en:avocados""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:fruits-and-vegetables-based-foods"",""en:fruits-based-foods"",""en:fruits"",""en:tropical-fruits"",""en:avocados""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:fats"",""en:spreads"",""en:plant-based-spreads"",""en:spreadable-fats"",""en:vegetable-fats"",""en:margarines""]"
"[""en:plant-based-foods-and-beverages"",""en:plant-based-foods"",""en:fruits-and-vegetables-based-foods"",""en:fruits-based-foods"",""en:fruits"",""en:tropical-fruits"",""en:avocados""]"
