"Index","Date","Open","High","Low","Close","Adj Close","Volume","CloseUSD"
"HSI","1986-12-31",2568.300049,2568.300049,2568.300049,2568.300049,2568.300049,0,333.87900637
"HSI","1987-01-02",2540.100098,2540.100098,2540.100098,2540.100098,2540.100098,0,330.21301274
"HSI","1987-01-05",2552.399902,2552.399902,2552.399902,2552.399902,2552.399902,0,331.81198726
"HSI","1987-01-06",2583.899902,2583.899902,2583.899902,2583.899902,2583.899902,0,335.90698726
"HSI","1987-01-07",2607.100098,2607.100098,2607.100098,2607.100098,2607.100098,0,338.92301274
"HSI","1987-01-08",2603.300049,2603.300049,2603.300049,2603.300049,2603.300049,0,338.42900637
"HSI","1987-01-09",2561.699951,2561.699951,2561.699951,2561.699951,2561.699951,0,333.02099363
"HSI","1987-01-12",2614.899902,2614.899902,2614.899902,2614.899902,2614.899902,0,339.93698726
"HSI","1987-01-13",2590.800049,2590.800049,2590.800049,2590.800049,2590.800049,0,336.80400637
"HSI","1987-01-14",2578.199951,2578.199951,2578.199951,2578.199951,2578.199951,0,335.16599363
"HSI","1987-01-15",2559.100098,2559.100098,2559.100098,2559.100098,2559.100098,0,332.68301274
"HSI","1987-01-16",2542.600098,2542.600098,2542.600098,2542.600098,2542.600098,0,330.53801274
"HSI","1987-01-19",2460.5,2460.5,2460.5,2460.5,2460.5,0,319.865
"HSI","1987-01-20",2449.899902,2449.899902,2449.899902,2449.899902,2449.899902,0,318.48698726
"HSI","1987-01-21",2533.899902,2533.899902,2533.899902,2533.899902,2533.899902,0,329.40698726
"HSI","1987-01-22",2536.899902,2536.899902,2536.899902,2536.899902,2536.899902,0,329.79698726
"HSI","1987-01-23",2499.399902,2499.399902,2499.399902,2499.399902,2499.399902,0,324.92198726
"HSI","1987-01-26",2484.399902,2484.399902,2484.399902,2484.399902,2484.399902,0,322.97198726
"HSI","1987-01-27",2524,2524,2524,2524,2524,0,328.12
"HSI","1987-01-28",2553.300049,2553.300049,2553.300049,2553.300049,2553.300049,0,331.92900637
"HSI","1987-02-02",2585.199951,2585.199951,2585.199951,2585.199951,2585.199951,0,336.07599363
"HSI","1987-02-03",2606.399902,2606.399902,2606.399902,2606.399902,2606.399902,0,338.83198726
"HSI","1987-02-04",2636.600098,2636.600098,2636.600098,2636.600098,2636.600098,0,342.75801274
"HSI","1987-02-05",2672.399902,2672.399902,2672.399902,2672.399902,2672.399902,0,347.41198726
"HSI","1987-02-06",2673.600098,2673.600098,2673.600098,2673.600098,2673.600098,0,347.56801274
"HSI","1987-02-09",2713.699951,2713.699951,2713.699951,2713.699951,2713.699951,0,352.78099363
"HSI","1987-02-10",2694.899902,2694.899902,2694.899902,2694.899902,2694.899902,0,350.33698726
"HSI","1987-02-11",2739.5,2739.5,2739.5,2739.5,2739.5,0,356.135
"HSI","1987-02-12",2754.699951,2754.699951,2754.699951,2754.699951,2754.699951,0,358.11099363
"HSI","1987-02-13",2740.5,2740.5,2740.5,2740.5,2740.5,0,356.265
"HSI","1987-02-16",2766.100098,2766.100098,2766.100098,2766.100098,2766.100098,0,359.59301274
"HSI","1987-02-17",2792.100098,2792.100098,2792.100098,2792.100098,2792.100098,0,362.97301274
"HSI","1987-02-18",2801.5,2801.5,2801.5,2801.5,2801.5,0,364.195
"HSI","1987-02-19",2775.800049,2775.800049,2775.800049,2775.800049,2775.800049,0,360.85400637
"HSI","1987-02-20",2827.399902,2827.399902,2827.399902,2827.399902,2827.399902,0,367.56198726
"HSI","1987-02-23",2879,2879,2879,2879,2879,0,374.27
"HSI","1987-02-24",2848.199951,2848.199951,2848.199951,2848.199951,2848.199951,0,370.26599363
"HSI","1987-02-25",2873.600098,2873.600098,2873.600098,2873.600098,2873.600098,0,373.56801274
"HSI","1987-02-26",2843.600098,2843.600098,2843.600098,2843.600098,2843.600098,0,369.66801274
"HSI","1987-02-27",2877.899902,2877.899902,2877.899902,2877.899902,2877.899902,0,374.12698726
"HSI","1987-03-02",2894.300049,2894.300049,2894.300049,2894.300049,2894.300049,0,376.25900637
"HSI","1987-03-03",2939.100098,2939.100098,2939.100098,2939.100098,2939.100098,0,382.08301274
"HSI","1987-03-04",2890.899902,2890.899902,2890.899902,2890.899902,2890.899902,0,375.81698726
"HSI","1987-03-05",2798.399902,2798.399902,2798.399902,2798.399902,2798.399902,0,363.79198726
"HSI","1987-03-06",2798.600098,2798.600098,2798.600098,2798.600098,2798.600098,0,363.81801274
"HSI","1987-03-09",2820.399902,2820.399902,2820.399902,2820.399902,2820.399902,0,366.65198726
"HSI","1987-03-10",2731.100098,2731.100098,2731.100098,2731.100098,2731.100098,0,355.04301274
"HSI","1987-03-11",2760.899902,2760.899902,2760.899902,2760.899902,2760.899902,0,358.91698726
"HSI","1987-03-12",2750.100098,2750.100098,2750.100098,2750.100098,2750.100098,0,357.51301274
"HSI","1987-03-13",2721.199951,2721.199951,2721.199951,2721.199951,2721.199951,0,353.75599363
"HSI","1987-03-16",2669.600098,2669.600098,2669.600098,2669.600098,2669.600098,0,347.04801274
"HSI","1987-03-17",2629.300049,2629.300049,2629.300049,2629.300049,2629.300049,0,341.80900637
"HSI","1987-03-18",2724,2724,2724,2724,2724,0,354.12
"HSI","1987-03-19",2721.300049,2721.300049,2721.300049,2721.300049,2721.300049,0,353.76900637
"HSI","1987-03-20",2780.600098,2780.600098,2780.600098,2780.600098,2780.600098,0,361.47801274
"HSI","1987-03-23",2813.399902,2813.399902,2813.399902,2813.399902,2813.399902,0,365.74198726
