"set_num","set_name","year","num_parts","color_name","rgb","color_rank"
"7163-1","Republic Gunship",2002,697,"White","FFFFFF",1
"7166-1","Imperial Shuttle",2001,238,"White","FFFFFF",1
"7171-1","Mos Espa Podrace",1999,913,"Light Gray","9BA19D",1
"7180-1","B-wing at Rebel Control Center",2000,346,"Dark Gray","6D6E5C",1
"7184-1","Trade Federation MTT",2000,466,"Tan","E4CD9E",1
"7186-1","Watto's Junkyard",2001,449,"Black","05131D",1
"7190-1","Millennium Falcon",2000,671,"Dark Gray","6D6E5C",1
"7200-1","Final Duel I",2002,32,"Black","05131D",1
"7201-1","Final Duel II",2002,26,"Black","05131D",1
"7203-1","Jedi Defense I",2002,59,"Light Gray","9BA19D",1
"7204-1","Jedi Defense II",2002,53,"Tan","E4CD9E",1
"7250-1","Clone Scout Walker",2005,109,"Light Bluish Gray","A0A5A9",1
"7251-1","Darth Vader Transformation",2005,60,"Light Bluish Gray","A0A5A9",1
"7252-1","Droid Tri-Fighter",2005,147,"Sand Blue","6074A1",1
"7255-1","General Grievous Chase",2005,112,"Light Bluish Gray","A0A5A9",1
"7256-1","Jedi Starfighter & Vulture Droid",2005,202,"Dark Bluish Gray","6C6E68",1
"7257-1","Ultimate Lightsaber Duel",2005,278,"Light Bluish Gray","A0A5A9",1
"7258-1","Wookiee Attack",2005,368,"Black","05131D",1
"7259-1","ARC-170 Starfighter",2005,401,"White","FFFFFF",1
"7260-1","Wookiee Catamaran",2005,381,"Reddish Brown","582A12",1
"7261-1","Clone Turbo Tank [Light-Up Mace Windu]",2005,803,"Light Bluish Gray","A0A5A9",1
"7261-2","Clone Turbo Tank (with Non-Light-Up Mace Windu)",2006,814,"Light Bluish Gray","A0A5A9",1
"7262-1","TIE Fighter and Y-wing (TRU exclusive re-release)",2004,415,"Light Bluish Gray","A0A5A9",1
"7263-1","TIE Fighter",2005,159,"Blue","0055BF",1
"7264-1","Imperial Inspection",2005,378,"Light Bluish Gray","A0A5A9",1
"7283-1","Ultimate Space Battle",2005,540,"Dark Bluish Gray","6C6E68",1
"75000-1","Clone Troopers vs. Droidekas",2013,124,"Light Bluish Gray","A0A5A9",1
"75002-1","AT-RT",2013,222,"Light Bluish Gray","A0A5A9",1
"75003-1","A-wing Starfighter",2013,177,"White","FFFFFF",1
"75004-1","Z-95 Headhunter",2013,371,"White","FFFFFF",1
"75005-1","Rancor Pit",2013,380,"Dark Bluish Gray","6C6E68",1
"75006-1","LEGO Star Wars Jedi Starfighter and Kamino",2013,61,"White","FFFFFF",1
"75008-1","LEGO Star Wars TIE Bomber and Asteroid Field",2013,60,"Black","05131D",1
"75012-1","BARC Speeder with Sidecar",2013,225,"Light Bluish Gray","A0A5A9",1
"75013-1","Umbaran MHC (Mobile Heavy Cannon)",2013,491,"Light Bluish Gray","A0A5A9",1
"75014-1","Battle Of Hoth",2013,415,"White","FFFFFF",1
"75015-1","Corporate Alliance Tank Droid",2013,271,"Black","05131D",1
"75016-1","Homing Spider Droid",2013,295,"Light Bluish Gray","A0A5A9",1
"75017-1","Duel on Geonosis",2013,391,"Dark Bluish Gray","6C6E68",1
"75018-1","JEK-14's Stealth Starfighter",2013,548,"Black","05131D",1
"75019-1","AT-TE",2013,792,"Light Bluish Gray","A0A5A9",1
"75020-1","Jabba’s Sail Barge",2013,848,"Reddish Brown","582A12",1
"75021-1","Republic Gunship",2013,1173,"White","FFFFFF",1
"75022-1","Mandalorian Speeder",2013,210,"Black","05131D",1
"75024-1","HH-87 Starhopper",2014,361,"Dark Bluish Gray","6C6E68",1
"75025-1","Jedi Defender-class Cruiser",2013,925,"Light Bluish Gray","A0A5A9",1
"75030-1","Millennium Falcon",2014,94,"Light Bluish Gray","A0A5A9",1
"75031-1","TIE Interceptor",2014,92,"Light Bluish Gray","A0A5A9",1
"75032-1","X-Wing Fighter",2014,97,"White","FFFFFF",1
"75033-1","Star Destroyer",2014,97,"Light Bluish Gray","A0A5A9",1
"75048-1","The Phantom",2014,233,"White","FFFFFF",1
"75052-1","Mos Eisley Cantina",2014,614,"Tan","E4CD9E",1
"75053-1","The Ghost",2014,927,"Light Bluish Gray","A0A5A9",1
"75054-1","AT-AT",2014,1136,"Light Bluish Gray","A0A5A9",1
"75058-1","MTT",2014,951,"Reddish Brown","582A12",1
