"set_num","set_name","year","num_parts","color_name","rgb","color_rank"
"SW911510-1","Star Destroyer and TIE Fighter foil pack",2015,21,"Light Bluish Gray","A0A5A9",1
"SW911612-1","Acklay",2016,49,"Tan","E4CD9E",1
"SW911719-1","Kanan Jarrus foilpack",2017,6,"Trans-Light Blue","AEEFEC",1
"SW911720-1","The Ghost",2017,50,"White","FFFFFF",1
"SW911724-1","A-Wing",2017,47,"Light Bluish Gray","A0A5A9",1
"SWCOMIC1-1","X-Wing",2015,23,"Light Bluish Gray","A0A5A9",1
"SWMP-1","Star Wars / M&M Mosaic - Promo Set",2005,5461,"Black","05131D",1
"tf05-1","Lego Toy Fair 2005 Star Wars V.I.P. Gala Set",2005,38,"Light Bluish Gray","A0A5A9",1
"TRUGHOST-1","Rebel Micro Ghost",2014,42,"White","FFFFFF",1
"TRUTIE-1","TIE Fighter",2014,12,"Black","05131D",1
"TRUXWING-1","X-Wing",2014,23,"White","FFFFFF",1
"VP-10","Star Wars Value Pack with Free LEGO Backpack (K-Mart Australia Exclusive)",2003,4,"[No Color]","05131D",1
