"entity","code","year","users","share"
"Afghanistan","AFG",1991,0,0
"Afghanistan","AFG",1992,0,0
"Afghanistan","AFG",1993,0,0
"Afghanistan","AFG",1994,0,0
"Afghanistan","AFG",2001,930,0.004722568
"Afghanistan","AFG",2003,19903,0.08789125
"Afghanistan","AFG",2004,24922,0.10580903
"Afghanistan","AFG",2005,298829,1.224148
"Afghanistan","AFG",2006,536114,2.1071236
"Afghanistan","AFG",2007,492163,1.9
